년도,자치구,단속건수,과태료건수,과태료금액(천원)
2022년,동구,63677,59965,2115367
2022년,중구,56058,56058,2939785
2022년,서구,150125,150125,7218735
2022년,유성구,96578,95599,4323740
2022년,대덕구,52324,50430,2353075
2021년,동구,64270,57928,2044064
2021년,중구,41526,40564,2095140
2021년,서구,118403,118403,5586565
2021년,유성구,93216,93181,4090655
2021년,대덕구,40728,34366,1237588
2020년,동구,53720,52998,1870570
2020년,중구,43929,41403,1724063
2020년,서구,97325,97325,4415170
2020년,유성구,109245,101769,4087059
2020년,대덕구,28200,28312,1030228
2019년,동구,56203,51626,1795745
2019년,중구,48447,52294,1850445
2019년,서구,138839,138839,5410315
2019년,유성구,106409,104359,3779804
2019년,대덕구,28854,26882,944602
2018년,동구,51317,48054,1707828
2018년,중구,41578,40658,1449001
2018년,서구,131620,131620,5006320
2018년,유성구,91629,89154,3317889
2018년,대덕구,26179,25545,940591
